KO	Panpathway
K18928	4
K18929	4
K18930	3
K18979	4
K18997	4
K19046	3
K19058	0
K19068	0
K19076	0
K19092	3
K19123	3
K19124	3
K19125	3
K19126	3
K19141	2
K19142	2
K19147	0
K19157	0
K19168	4
K19221	4
K19345	4
K19416	3
K19640	4
K19641	4
K19661	4
K19745	4
K19746	3
K19784	2
K19804	4
K20034	2
K20035	4
K20074	4
K20266	3
K20429	3
K20527	3
K20528	3
K20529	3
K20530	3
K20531	3
K20532	0
K20533	0
K20534	2
